name,uri,id,image,genre
Coldplay,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,4gzpq5DPGxSnKTe4SA8HAU,https://i.scdn.co/image/4ffd6710617d289699cc0df60cf975e316025119,permanent wave
Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s,1uNFoZAHBGtllmzznpCI3s,https://i.scdn.co/image/3ff69320dd62625e0e24737c1965027695369a31,canadian pop
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,1Xyo4u8uXC1ZmMpatF05PJ,https://i.scdn.co/image/d9a875c37277c35b94c60c00d2cd256db098505d,canadian contemporary r&b
Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,3TVXtAsR1Inumwj472S9r4,https://i.scdn.co/image/60cfab40c6bb160a1906be45276829d430058005,canadian hip hop
Bad Bunny,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5,1vyhD5VmyZ7KMfW5gqLgo5,https://i.scdn.co/image/c197cd71445eedb25326f490130581b0718def85,latin
Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,6eUKZXaKkcviH0Ku9w2n3V,https://i.scdn.co/image/f55cab0739390cf3b2c2f773b9c779b2f0ae8a99,pop
Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,66CXWjxzNUsdJxJ2JdwvnR,https://i.scdn.co/image/f8c793519d837ca2f920c561535fe62ef32e8e5b,dance pop
Cardi B,spotify:artist:4kYSro6naA4h99UJvo89HB,4kYSro6naA4h99UJvo89HB,https://i.scdn.co/image/e9c7d7e446f19d445898eb362417542b134863af,pop
Khalid,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,6qqNVTkY8uBg9cP3Jd7DAH,https://i.scdn.co/image/022d340319cc6c57ed953075f4c7a2d3346669af,electropop
Jason Derulo,spotify:artist:56mfhUDKa1vec6rSLZV5Eg,56mfhUDKa1vec6rSLZV5Eg,https://i.scdn.co/image/802103bc539a475741596779b916d463c47b1b97,nz pop
Marshmello,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,4MCBfE4596Uoi2O4DtmEMz,https://i.scdn.co/image/d8e62447a338a882b490460da20e90aac6d60ae7,chicago rap
Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,0Y5tJX1MQlPlqiwlOH1tJY,https://i.scdn.co/image/ef784cfa3f4f87d656d3dfa5eedf0a24610faba9,rap
Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,04gDigrS5kc9YWfZHwBETP,https://i.scdn.co/image/305c7c493ca5c108ade08dea6a169694db911644,pop
Shawn Mendes,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,7n2wHs1TKAczGzO7Dd2rGr,https://i.scdn.co/image/809b93c47fca237138e53968d86682f09d0f45a2,canadian pop
Halsey,spotify:artist:6TIYQ3jFPwQSRmorSezPxX,6TIYQ3jFPwQSRmorSezPxX,https://i.scdn.co/image/121e6d42e65360c843a116cb80c672e812101448,ohio hip hop
Lady Gaga,spotify:artist:1HY2Jd0NmPuamShAr6KMms,1HY2Jd0NmPuamShAr6KMms,https://i.scdn.co/image/1f4c23aa943d8eafc17e9f02e0cb1ffc3ac49d37,dance pop
Post Malone,spotify:artist:20gsENnposVs2I4rQ5kvrf,20gsENnposVs2I4rQ5kvrf,https://i.scdn.co/image/7d85234afc83df9951394e9d6cb76d1fe983e0fb,dance pop
Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,6KImCVD70vtIoJWnq6nGn3,https://i.scdn.co/image/b2163e7456f3d618a0e2a4e32bc892d6b11ce673,pop
